url,date,rawContent,username,likeCount,replyCount,retweetCount,quoteCount,cashtags,hashtags,viewCount
https://twitter.com/Stocktwits/status/1608108165673156609,2022-12-28 14:30:38+00:00,"The markets are open! 🔔

Here are some things in focus today.👇
✦ Pending Home Sales.
✧ API Crude Oil Stock Changes.
✦ Indices very flat before the open.
✧ Two more trade days left for 2022. https://t.co/O6exdP2NK5",Stocktwits,17,1,6,1,,,23115.0
https://twitter.com/ChrisCamillo/status/1607980013110038529,2022-12-28 06:01:24+00:00,Love this guy,ChrisCamillo,30,1,1,0,,,13963.0
https://twitter.com/ChrisCamillo/status/1607918721401778178,2022-12-28 01:57:51+00:00,@NolanAntonucci @adrien_nav @jordan_mclain @davehanson For sure they did. Been following the Ugg data closely last few weeks,ChrisCamillo,3,0,0,0,,,544.0
https://twitter.com/Stocktwits/status/1607909065304461314,2022-12-28 01:19:29+00:00,https://t.co/cNhJqEwjFa,Stocktwits,11,3,4,0,,,27411.0
https://twitter.com/Stocktwits/status/1607844006439927810,2022-12-27 21:00:58+00:00,"The markets are closed! 🔔

Here were today's top stories! 👇
✧ All indices in the red save the Dow. 
✦ $TSLA hammered lower, new 28-month lows.
✧ $LUV hits turbulence, down -6%. 
✦ The start of the last week for 2022 is looking bleak.
https://t.co/jt5vFdq0s6 https://t.co/8EcOPTRtqi",Stocktwits,14,2,6,1,"['TSLA', 'LUV']",,27886.0
https://twitter.com/Stocktwits/status/1607827207350517760,2022-12-27 19:54:12+00:00,"The only Tech stonks in the S&amp;P 500 in the green YTD are: $ATVI (+14%), $JKHY (+7%), $IBM (+6%), and $IT (+0.46%). #ActivisionBlizzard #IBM https://t.co/ijxty9X44v",Stocktwits,17,0,9,1,"['ATVI', 'JKHY', 'IBM', 'IT']","['ActivisionBlizzard', 'IBM']",25731.0
https://twitter.com/Stocktwits/status/1607800721956642816,2022-12-27 18:08:58+00:00,"Fun day on the $TSLA stream. 

Join the conversation: https://t.co/I90p2v4CvI",Stocktwits,28,6,3,0,['TSLA'],,52306.0
https://twitter.com/Stocktwits/status/1607792150455910400,2022-12-27 17:34:54+00:00,$DOGE A little more than 54% of Dogecoin hodlers are still in the green. Kind of a shocker there. And Doge's marketcap is bigger than $COIN - let that sink in. #Dogecoin #dogearmy #doge https://t.co/MEheo4WpKC,Stocktwits,38,3,11,1,"['DOGE', 'COIN']","['Dogecoin', 'dogearmy', 'doge']",31483.0
https://twitter.com/Stocktwits/status/1607778673582563328,2022-12-27 16:41:21+00:00,@e368mc https://t.co/oQb4puuJ42,Stocktwits,2,0,0,0,,,1017.0
https://twitter.com/Stocktwits/status/1607774091662036992,2022-12-27 16:23:09+00:00,@igor_sicinski @elonmusk 😂,Stocktwits,2,0,0,0,,,353.0
https://twitter.com/Stocktwits/status/1607773519865352192,2022-12-27 16:20:52+00:00,$TSLA stock has fallen 65% since @elonmusk purchased Twitter 😬 https://t.co/ulSwTxzs48,Stocktwits,190,11,29,5,['TSLA'],,71457.0
https://twitter.com/Stocktwits/status/1607757073504243714,2022-12-27 15:15:31+00:00,@peteweishaupt Will be fun to watch that competition.,Stocktwits,1,0,0,0,,,1404.0
https://twitter.com/Stocktwits/status/1607755843839066112,2022-12-27 15:10:38+00:00,@herostick 😬,Stocktwits,0,0,0,0,,,1415.0
https://twitter.com/Stocktwits/status/1607755235576905730,2022-12-27 15:08:13+00:00,@grafx85 https://t.co/A7o5EdT2dV,Stocktwits,1,0,0,0,,,99.0
https://twitter.com/Stocktwits/status/1607754781552001026,2022-12-27 15:06:25+00:00,Reply with a ticker that will outperform $TSLA in 2023 👇,Stocktwits,51,58,5,2,['TSLA'],,160060.0
https://twitter.com/Stocktwits/status/1607745777740255235,2022-12-27 14:30:38+00:00,"The markets are open! 🔔

Here are some things in focus today.👇
✦ Dallas Fed Manuf. Index.
✧ Final trading week of 2022.
✦ Extremely quiet week for earnings. https://t.co/C81JssX1gI",Stocktwits,24,2,6,1,,,28414.0
