datetime,symbol,open,high,low,close,volume
2022-11-29 15:40:00,NASDAQ:MSFT,240.95,241.15,240.81,240.91,3900.0
2022-11-29 15:45:00,NASDAQ:MSFT,240.93,241.32,240.93,241.23,6232.0
2022-11-29 15:50:00,NASDAQ:MSFT,241.13,241.24,240.61,240.69,7461.0
2022-11-29 15:55:00,NASDAQ:MSFT,240.61,241.0,240.61,240.65,9243.0
2022-11-29 16:00:00,NASDAQ:MSFT,240.6,240.7,239.52,239.74,15599.0
2022-11-29 16:05:00,NASDAQ:MSFT,239.76,239.79,238.93,238.96,10506.0
2022-11-29 16:10:00,NASDAQ:MSFT,238.95,239.3,238.82,239.3,14560.0
2022-11-29 16:15:00,NASDAQ:MSFT,239.31,239.31,238.42,238.42,12721.0
2022-11-29 16:20:00,NASDAQ:MSFT,238.36,238.7,238.25,238.66,15589.0
2022-11-29 16:25:00,NASDAQ:MSFT,238.67,238.79,238.49,238.62,8531.0
2022-11-29 16:30:00,NASDAQ:MSFT,238.58,238.97,238.44,238.91,6825.0
2022-11-29 16:35:00,NASDAQ:MSFT,238.88,239.18,238.83,239.06,5091.0
2022-11-29 16:40:00,NASDAQ:MSFT,239.12,239.35,239.08,239.19,7191.0
2022-11-29 16:45:00,NASDAQ:MSFT,239.25,239.37,239.14,239.26,5200.0
2022-11-29 16:50:00,NASDAQ:MSFT,239.33,239.48,239.12,239.44,8511.0
2022-11-29 16:55:00,NASDAQ:MSFT,239.43,239.66,239.37,239.66,8699.0
2022-11-29 17:00:00,NASDAQ:MSFT,239.66,239.74,239.54,239.72,6732.0
2022-11-29 17:05:00,NASDAQ:MSFT,239.72,239.89,239.68,239.85,3950.0
2022-11-29 17:10:00,NASDAQ:MSFT,239.83,239.85,239.45,239.74,5578.0
2022-11-29 17:15:00,NASDAQ:MSFT,239.77,240.0,239.55,240.0,6455.0
2022-11-29 17:20:00,NASDAQ:MSFT,240.07,240.07,239.65,239.73,5000.0
2022-11-29 17:25:00,NASDAQ:MSFT,239.6,239.89,239.48,239.59,5594.0
2022-11-29 17:30:00,NASDAQ:MSFT,239.64,239.85,239.59,239.76,5001.0
2022-11-29 17:35:00,NASDAQ:MSFT,239.71,240.32,239.56,240.1,4414.0
2022-11-29 17:40:00,NASDAQ:MSFT,240.1,240.33,240.1,240.27,4162.0
2022-11-29 17:45:00,NASDAQ:MSFT,240.29,240.31,240.08,240.16,4764.0
2022-11-29 17:50:00,NASDAQ:MSFT,240.17,240.39,240.1,240.11,6011.0
2022-11-29 17:55:00,NASDAQ:MSFT,240.15,240.31,240.06,240.11,4200.0
2022-11-29 18:00:00,NASDAQ:MSFT,240.15,240.15,239.81,239.91,7100.0
2022-11-29 18:05:00,NASDAQ:MSFT,239.91,240.035,239.84,239.88,6416.0
2022-11-29 18:10:00,NASDAQ:MSFT,239.91,240.23,239.82,240.22,4500.0
2022-11-29 18:15:00,NASDAQ:MSFT,240.24,240.24,239.4,239.52,6795.0
2022-11-29 18:20:00,NASDAQ:MSFT,239.5,239.52,239.3,239.41,4300.0
2022-11-29 18:25:00,NASDAQ:MSFT,239.42,239.42,239.06,239.15,5469.0
2022-11-29 18:30:00,NASDAQ:MSFT,239.09,239.17,239.05,239.11,3529.0
2022-11-29 18:35:00,NASDAQ:MSFT,239.15,239.48,239.14,239.42,11646.0
